x;y;theta
1.55078;0.74433;0.285292
1.56891;0.740174;0.279264
1.58156;0.737169;0.275029
1.58912;0.735317;0.272479
1.60145;0.73219;0.268274
1.60897;0.730221;0.265686
1.6189;0.727555;0.262242
1.6314;0.724113;0.257882
1.6515;0.718371;0.250806
1.65919;0.716126;0.24809
1.6819;0.709226;0.239968
1.69006;0.70668;0.237033
1.70241;0.702753;0.232572
1.70986;0.700348;0.229873
1.71762;0.697785;0.227037
1.72815;0.69424;0.223167
1.7383;0.690756;0.219416
1.75172;0.686042;0.21442
1.75914;0.683391;0.211647
1.77218;0.678615;0.206727
1.78986;0.671935;0.199985
1.80025;0.667902;0.195988
1.81068;0.663802;0.191964
1.8205;0.659899;0.188173
1.82573;0.657791;0.186142
1.84092;0.651587;0.180232
1.85148;0.64721;0.176112
1.86631;0.640977;0.170315
1.88188;0.634322;0.164212
1.89154;0.63014;0.16042
1.89926;0.626765;0.157384
1.90696;0.623367;0.154349
1.91958;0.617743;0.14937
1.92984;0.613116;0.145315
1.93735;0.609698;0.142342
1.95224;0.602835;0.136432
1.9625;0.598046;0.132351
1.96498;0.596883;0.131366
1.97219;0.593478;0.128492
1.98214;0.588738;0.12452
2.0067;0.576803;0.114667
2.01372;0.573316;0.111828
2.01904;0.570648;0.109668
2.03651;0.561704;0.102506
2.04651;0.556488;0.0983777
2.05373;0.552658;0.0953709
2.05586;0.551517;0.0944787
2.0655;0.546294;0.0904187
2.0655;0.546294;0.0904187
2.10105;0.526316;0.0751852
2.10105;0.526316;0.0751852
2.11985;0.515318;0.0669817
2.12486;0.512339;0.0647805
2.1387;0.503913;0.0586045
2.15076;0.496403;0.0531565
2.15766;0.492022;0.0500026
2.17361;0.481631;0.0425912
2.18503;0.47401;0.0372105
2.20111;0.462959;0.0294901
2.21006;0.456688;0.0251476
2.21459;0.453486;0.0229413
2.22798;0.443829;0.0163289
2.23893;0.43575;0.0108445
2.2455;0.430825;0.00752073
2.25234;0.42561;0.00401797
2.26064;0.419178;-0.000280236
2.27341;0.408954;-0.00706492
2.27974;0.40379;-0.0104704
2.28824;0.396688;-0.0151323
2.29624;0.389849;-0.0195985
2.31253;0.375344;-0.0290017
2.3208;0.367741;-0.0338949
2.32693;0.361999;-0.0375742
2.33679;0.352464;-0.0436589
