x;y;theta
2.29468;0.129399;0.0995353
2.30858;0.130783;0.0989179
2.32252;0.132162;0.0982939
2.35046;0.134899;0.0970342
2.36046;0.13587;0.0965813
2.37762;0.137526;0.0957981
2.39111;0.138818;0.0951794
2.39793;0.139468;0.0948651
2.40486;0.140127;0.0945459
2.43185;0.142669;0.0932966
2.45582;0.144898;0.092166
2.47027;0.146229;0.0914831
2.4951;0.148491;0.0902683
2.51245;0.150054;0.0894138
2.52283;0.150982;0.0888981
2.53979;0.152486;0.0880459
2.55014;0.153397;0.0875201
2.56385;0.154595;0.0868195
2.58111;0.15609;0.0859313
2.60895;0.158468;0.084487
2.61961;0.159368;0.0839325
2.6512;0.161999;0.0822695
2.66257;0.162933;0.081668
2.67981;0.164336;0.0807529
2.69022;0.165176;0.0801991
2.70109;0.166047;0.0796161
2.71586;0.167219;0.0788195
2.73012;0.16834;0.0780467
2.74903;0.169808;0.0770162
2.75949;0.170613;0.0764437
2.77794;0.172016;0.075426
2.80302;0.173894;0.0740287
2.8178;0.174984;0.0731987
2.83268;0.176069;0.0723634
2.8467;0.17708;0.0715761
2.85419;0.177615;0.0711543
2.87595;0.179153;0.0699257
2.89112;0.180209;0.0690691
2.91246;0.181672;0.067864
2.93494;0.183186;0.0665953
2.9489;0.184111;0.0658071
2.96008;0.184845;0.065176
2.97126;0.185571;0.064545
2.9896;0.186746;0.0635099
3.00453;0.18769;0.0626669
3.01548;0.188374;0.062049
3.03726;0.189713;0.0608203
3.05229;0.190622;0.0599721
3.05592;0.19084;0.0597672
3.06651;0.19147;0.0591697
3.08114;0.192331;0.0583442
3.11739;0.194411;0.056295
3.1278;0.194994;0.0557041
3.1357;0.195433;0.0552541
3.16174;0.196854;0.0537597
3.1767;0.197652;0.0528975
3.18753;0.198223;0.0522685
3.19074;0.19839;0.0520818
3.20526;0.199141;0.0512308
3.20526;0.199141;0.0512308
3.25927;0.201823;0.04803
3.25927;0.201823;0.04803
3.2881;0.203184;0.0463022
3.29581;0.20354;0.045838
3.31724;0.204509;0.0445326
3.33601;0.205334;0.0433787
3.34681;0.205799;0.0427095
3.37193;0.206853;0.0411325
3.39004;0.207588;0.0399854
3.41575;0.208595;0.0383345
3.43016;0.209141;0.0374048
3.43745;0.209413;0.0369321
3.45919;0.2102;0.0355128
3.4771;0.210826;0.0343334
3.48789;0.211193;0.0336176
3.4992;0.211569;0.0328618
3.51298;0.212015;0.0319327
3.53444;0.212685;0.0304602
3.54515;0.213007;0.0297197
3.55966;0.213431;0.0287031
3.57343;0.21382;0.0277264
3.60191;0.21458;0.025659
3.61656;0.214949;0.0245794
3.62751;0.215213;0.0237662
3.64537;0.215626;0.0224152
3.6598;0.215941;0.0213131
3.68902;0.216531;0.019027
3.70311;0.216791;0.0179144
3.72787;0.21721;0.0159275
3.74564;0.21748;0.0144941
3.75975;0.217677;0.0133471
3.76996;0.217809;0.0125098
3.78012;0.217932;0.0116728
3.79377;0.218083;0.0105451
3.80771;0.218222;0.00938506
3.82537;0.218375;0.00789948
3.83645;0.218457;0.00695928
3.86445;0.218618;0.00452681
3.87765;0.21867;0.00336558
3.8914;0.218708;0.00213583
3.90148;0.218725;0.00122853
3.9187;0.218732;-0.000348102
3.93204;0.21872;-0.00158135
3.93902;0.218706;-0.00223298
3.95609;0.218654;-0.00384908
3.96947;0.218594;-0.00513141
4.00095;0.218384;-0.00822338
4.00823;0.218321;-0.00894543
4.03572;0.218037;-0.0117353
4.05366;0.21781;-0.0135764
4.07187;0.217546;-0.0154648
4.08261;0.217374;-0.0165932
4.09753;0.217114;-0.0181789
4.12618;0.216549;-0.021289
4.14073;0.216227;-0.0228789
4.16304;0.215689;-0.0253631
4.18464;0.215115;-0.0277862
4.19178;0.214914;-0.0285909
4.21331;0.214271;-0.0310376
4.22828;0.213794;-0.0327451
4.23896;0.213438;-0.0339705
4.24568;0.213207;-0.0347432
4.26354;0.212568;-0.0368065
4.28561;0.211726;-0.0393724
4.30362;0.210998;-0.0414822
4.33976;0.209421;-0.0457415
4.35446;0.208735;-0.0474809
4.36541;0.208208;-0.0487789
4.38401;0.207279;-0.0509889
4.39403;0.206761;-0.0521822
4.40876;0.205979;-0.053938
4.42615;0.205022;-0.0560182
4.44116;0.204167;-0.0578155
4.45109;0.203586;-0.0590046
4.46532;0.202734;-0.0607099
4.49418;0.200929;-0.0641832
4.51958;0.199257;-0.0672584
4.53088;0.198488;-0.0686283
4.54832;0.197271;-0.0707545
4.56597;0.196001;-0.0729111
4.57656;0.19522;-0.0742086
4.59087;0.194144;-0.0759662
4.60464;0.193084;-0.077659
4.61531;0.192247;-0.0789742
4.63274;0.190848;-0.0811298
4.65791;0.188762;-0.0842517
4.67233;0.187532;-0.0860432
4.6933;0.185695;-0.0886529
4.70002;0.185095;-0.0894901
4.71823;0.18344;-0.0917603
4.72881;0.18246;-0.0930798
4.74321;0.181102;-0.0948758
4.75354;0.180112;-0.0961657
4.78947;0.176566;-0.100652
4.79978;0.175517;-0.101941
4.82836;0.172542;-0.105512
4.84212;0.171073;-0.107232
4.85961;0.169171;-0.109418
4.86701;0.168355;-0.110343
4.88468;0.166377;-0.112552
4.89517;0.165184;-0.113865
4.91276;0.163154;-0.116065
4.94122;0.159783;-0.119627
4.96621;0.156741;-0.122755
4.9841;0.154513;-0.124997
4.9916;0.153567;-0.125936
5.00972;0.151252;-0.128206
5.0207;0.149829;-0.129582
5.0353;0.147912;-0.131412
5.05326;0.145519;-0.133667
5.0674;0.143604;-0.135446
5.07827;0.142115;-0.136817
5.11034;0.137633;-0.140882
5.12123;0.13608;-0.142264
5.13528;0.134056;-0.14405
5.14936;0.132;-0.145844
5.16744;0.129324;-0.148157
5.17901;0.127588;-0.14964
5.20442;0.123714;-0.152925
5.22223;0.120948;-0.155236
5.24306;0.117658;-0.157967
5.25764;0.115322;-0.159885
5.27517;0.112474;-0.162207
5.29248;0.109622;-0.164511
5.30675;0.107239;-0.166422
5.30675;0.107239;-0.166422
5.3314;0.103055;-0.169748
5.35988;0.098117;-0.173615
5.36684;0.0968934;-0.174562
5.39845;0.091248;-0.178883
5.41666;0.0879327;-0.181378
5.42704;0.0860204;-0.182805
5.44505;0.0826682;-0.185283
5.45879;0.0800797;-0.187175
5.46991;0.0779653;-0.188708
5.48709;0.0746634;-0.191082
5.49763;0.0726159;-0.192541
5.5114;0.0699171;-0.194447
5.53927;0.0643722;-0.198307
5.55309;0.061582;-0.200222
5.5777;0.0565446;-0.203636
5.60506;0.0508406;-0.207436
5.61925;0.0478387;-0.209408
5.63297;0.0449089;-0.211315
5.647;0.041885;-0.213266
5.6641;0.0381615;-0.215644
5.66763;0.0373878;-0.216135
5.6923;0.0319255;-0.219571
5.70265;0.0296087;-0.221012
5.70625;0.0287991;-0.221514
5.74071;0.0209512;-0.226318
5.75737;0.0170928;-0.228644
5.77121;0.0138582;-0.230576
5.78458;0.0107064;-0.232443
5.79514;0.00819872;-0.233919
5.8054;0.00574694;-0.235352
5.83682;-0.00186145;-0.239747
5.85161;-0.00549364;-0.241818
5.87547;-0.0114187;-0.245159
5.88915;-0.0148559;-0.247077
5.90957;-0.020039;-0.249941
5.91965;-0.0226195;-0.251356
5.9299;-0.0252592;-0.252794
5.94303;-0.028662;-0.254637
5.95281;-0.0312164;-0.256012
5.96315;-0.0339298;-0.257465
5.98654;-0.0401295;-0.260754
6.01277;-0.0471811;-0.264447
6.01984;-0.0491006;-0.265443
6.03637;-0.0536146;-0.267772
6.04967;-0.0572764;-0.269647
6.06287;-0.0609368;-0.271509
6.07314;-0.0638044;-0.272959
6.09038;-0.0686529;-0.275393
6.10431;-0.0726049;-0.277362
6.12879;-0.0796217;-0.280824
6.14191;-0.0834166;-0.28268
6.15591;-0.0874988;-0.284662
6.1797;-0.0945034;-0.288034
6.19676;-0.0995819;-0.290454
6.2069;-0.102619;-0.291892
6.22403;-0.10779;-0.294325
6.23725;-0.111812;-0.296204
6.24726;-0.114873;-0.297626
6.25414;-0.116987;-0.298605
6.26762;-0.121152;-0.300523
6.3051;-0.132875;-0.305861
6.32875;-0.140388;-0.309235
6.34605;-0.145939;-0.311704
6.35647;-0.149304;-0.313193
6.36653;-0.15257;-0.314631
6.38314;-0.157999;-0.317007
6.39265;-0.161125;-0.318367
6.41941;-0.17;-0.322199
6.43284;-0.174498;-0.324125
6.45915;-0.183395;-0.327901
6.47665;-0.189371;-0.330414
6.48688;-0.19289;-0.331885
6.50437;-0.198939;-0.3344
6.51397;-0.202285;-0.335783
6.53052;-0.208081;-0.338166
6.53357;-0.209154;-0.338606
6.55342;-0.216179;-0.341469
6.57893;-0.225295;-0.34515
6.59196;-0.229997;-0.347035
6.6149;-0.238335;-0.350352
6.63116;-0.2443;-0.352707
6.6408;-0.247853;-0.354103
6.65036;-0.251397;-0.355489
6.66634;-0.257349;-0.357807
6.68277;-0.263514;-0.360192
6.69264;-0.26724;-0.361626
6.71961;-0.277505;-0.36555
6.73625;-0.283897;-0.367973
6.74298;-0.286496;-0.368954
6.75615;-0.291599;-0.370873
6.77282;-0.298108;-0.373307
6.78314;-0.30216;-0.374814
6.7901;-0.304901;-0.375831
6.82353;-0.318184;-0.38072
6.83034;-0.320914;-0.381718
6.8575;-0.331881;-0.3857
6.87419;-0.338679;-0.388149
6.89097;-0.345568;-0.390616
6.90427;-0.351057;-0.392571
6.91775;-0.356656;-0.394556
6.91775;-0.356656;-0.394556
6.94821;-0.369418;-0.399045
6.9587;-0.37385;-0.400593
6.99951;-0.391281;-0.406626
7.0098;-0.39572;-0.408149
7.01676;-0.398732;-0.409179
7.0265;-0.402966;-0.410624
7.05076;-0.413581;-0.414224
7.06028;-0.417776;-0.415638
7.06689;-0.420696;-0.41662
7.09106;-0.431444;-0.420216
7.10877;-0.439384;-0.422854
7.11944;-0.444195;-0.424445
7.13311;-0.450391;-0.426486
7.1465;-0.456492;-0.428486
7.15948;-0.462434;-0.430426
7.17988;-0.471839;-0.43348
7.17988;-0.471839;-0.43348
7.20351;-0.482829;-0.437023
7.22987;-0.495206;-0.440982
7.2468;-0.50322;-0.443527
7.27025;-0.514413;-0.44706
7.27025;-0.514413;-0.44706
7.27343;-0.515939;-0.44754
7.31032;-0.533776;-0.45311
7.31032;-0.533776;-0.45311
7.33735;-0.547002;-0.4572
7.3576;-0.557006;-0.460271
7.37761;-0.566962;-0.463309
7.37761;-0.566962;-0.463309
7.41046;-0.583475;-0.468307
7.41735;-0.586968;-0.469358
7.43985;-0.598426;-0.47279
7.44656;-0.601863;-0.473815
7.46963;-0.613746;-0.477343
7.47616;-0.617123;-0.478341
