x;y;t
1.80362;1.21262;0.450526
1.83284;1.21329;0.445858
1.84709;1.21367;0.442129
1.86334;1.21522;0.439267
1.87034;1.21532;0.436127
1.8838;1.2117;0.434585
1.90639;1.22561;0.426016
1.90889;1.21601;0.426298
1.9271;1.21673;0.423215
1.9463;1.21227;0.421105
1.96385;1.2146;0.417093
1.97571;1.21537;0.412187
2.00509;1.21897;0.403739
2.0125;1.21006;0.402915
2.03468;1.21434;0.397408
2.03724;1.20348;0.397356
2.05338;1.19788;0.395537
2.07399;1.20891;0.387752
2.07618;1.19235;0.388051
2.10503;1.19689;0.37759
2.11918;1.19089;0.376449
2.14796;1.19342;0.366539
2.15759;1.18506;0.365328
2.17148;1.17822;0.363506
2.18413;1.17492;0.359635
2.19527;1.16705;0.357719
2.21571;1.15896;0.354198
2.22503;1.16203;0.348813
2.25555;1.15191;0.342348
2.27527;1.15498;0.335995
2.30003;1.14446;0.328968
2.31276;1.14177;0.324794
2.33527;1.14334;0.318493
2.34458;1.13051;0.31654
2.35789;1.1356;0.309974
2.37393;1.1345;0.305411
2.38556;1.13201;0.300876
2.39662;1.1296;0.296934
2.41584;1.12278;0.293222
2.44398;1.10663;0.286864
2.46314;1.10883;0.281525
2.47248;1.10177;0.2778
2.49448;1.10239;0.271299
2.50039;1.091;0.269156
2.51868;1.08183;0.265664
2.5332;1.07714;0.260799
2.546;1.06712;0.258576
2.5751;1.05237;0.25329
2.59787;1.05339;0.245981
2.59655;1.04024;0.244815
2.60488;1.03439;0.23947
2.63582;1.03636;0.231431
2.64901;1.03062;0.22827
2.66116;1.02853;0.223164
2.68046;1.02467;0.219688
2.68881;1.00647;0.21995
2.71454;1.0136;0.21134
2.71764;0.99915;0.21129
2.73392;1.00257;0.20292
2.75392;0.99224;0.201338
2.77563;0.981098;0.192973
2.795;0.973271;0.189388
2.80678;0.968919;0.184161
2.81057;0.959622;0.181677
2.82902;0.951435;0.176082
2.84498;0.949527;0.17151
2.86008;0.944405;0.166802
2.87538;0.941016;0.161922
2.89276;0.933679;0.157809
2.92069;0.929054;0.147267
2.92938;0.918794;0.143418
2.94766;0.916836;0.13725
2.9644;0.907775;0.133555
2.97542;0.899294;0.129409
2.99107;0.892006;0.123817
3.00913;0.88537;0.118717
3.03231;0.867346;0.110578
3.04833;0.865359;0.10466
3.07881;0.855789;0.0938126
3.08921;0.840445;0.0903464
3.09889;0.832578;0.0856372
3.1193;0.827909;0.0791515
3.13034;0.820399;0.0741189
3.13788;0.819611;0.0674065
3.16267;0.816297;0.0611193
3.16768;0.804677;0.0566667
3.17441;0.788342;0.0541987
3.1919;0.779176;0.0485965
3.20244;0.764027;0.0452776
3.21384;0.760311;0.0399403
3.23508;0.748212;0.0282682
3.23879;0.73711;0.0226736
3.26927;0.731628;0.0161986
3.2769;0.721558;0.0106015
3.28163;0.711266;0.00544104
3.31391;0.695857;-0.00697721
3.32129;0.678345;-0.0100729
3.34306;0.663363;-0.0228113
3.35569;0.657227;-0.0302384
3.36701;0.641295;-0.0339997
3.37257;0.627281;-0.0372703
3.38125;0.617319;-0.0435432
3.39784;0.609037;-0.0499561
3.39422;0.590598;-0.0522866
3.41206;0.583119;-0.0598431
3.4228;0.572465;-0.0660622
3.44127;0.547143;-0.0768573
3.45024;0.53093;-0.0817816
3.46507;0.526202;-0.0881047
3.46048;0.503077;-0.0883359
3.46036;0.491478;-0.0954748
3.4815;0.486153;-0.104034
3.48583;0.467565;-0.108322
3.4951;0.455207;-0.11381
3.50066;0.437222;-0.118396
3.53284;0.418542;-0.132644
3.52795;0.406561;-0.14056
3.5514;0.381411;-0.154256
3.55936;0.368175;-0.161802
3.56205;0.350162;-0.167601
3.56745;0.335069;-0.174158
3.57573;0.319982;-0.181394
3.58816;0.294709;-0.19686
3.59195;0.274584;-0.202668
3.61173;0.249074;-0.2188
3.61697;0.236988;-0.226532
3.62105;0.224604;-0.23536
3.62398;0.20374;-0.240193
3.62372;0.190564;-0.247762
3.6331;0.175146;-0.255798
3.6364;0.154584;-0.261889
3.64552;0.142773;-0.269585
3.64455;0.123244;-0.27686
3.66142;0.08679;-0.290156
3.66291;0.0532022;-0.305551
3.67573;0.0380417;-0.312584
3.67389;0.0247468;-0.320648
3.67351;0.010852;-0.330424
3.67775;-0.00631562;-0.337545
3.68553;-0.0149991;-0.34642
3.68313;-0.0348018;-0.352904
3.69147;-0.0490412;-0.361626
3.69395;-0.0613872;-0.368577
3.6935;-0.0760093;-0.376841
3.70924;-0.111446;-0.391665
3.7064;-0.14375;-0.406802
3.70988;-0.166569;-0.413501
3.71251;-0.177603;-0.421623
3.71752;-0.192989;-0.430384
3.7189;-0.211061;-0.436587
3.71806;-0.223418;-0.444981
3.71913;-0.239608;-0.452964
3.72045;-0.252447;-0.461246
3.71257;-0.27635;-0.467655
3.72442;-0.303472;-0.484168
3.72283;-0.318907;-0.492007
3.7163;-0.337691;-0.499188
3.71439;-0.347904;-0.508779
3.71088;-0.365288;-0.515195
3.71366;-0.382323;-0.522929
3.71749;-0.389186;-0.533903
3.71793;-0.410774;-0.541083
3.71353;-0.438598;-0.557438
3.7114;-0.454755;-0.565243
3.714;-0.48875;-0.580788
3.7105;-0.500968;-0.588699
3.70346;-0.518906;-0.596754
3.70627;-0.536062;-0.603987
3.70244;-0.549576;-0.612254
3.705;-0.564763;-0.621274
3.70087;-0.585706;-0.627768
3.6933;-0.616687;-0.644259
3.69512;-0.648944;-0.660334
3.68451;-0.663157;-0.668244
3.68115;-0.682531;-0.675418
3.68495;-0.695805;-0.684922
3.67794;-0.714544;-0.692193
3.6751;-0.72984;-0.70059
3.67622;-0.746613;-0.708398
3.66588;-0.75825;-0.717233
3.66296;-0.776646;-0.724174
3.66294;-0.80946;-0.740885
3.64643;-0.825837;-0.748073
3.65041;-0.840727;-0.756431
3.64401;-0.861068;-0.762594
3.64241;-0.868098;-0.7737
3.63556;-0.888642;-0.78065
3.61829;-0.919798;-0.797458
3.62318;-0.936287;-0.806071
3.60438;-0.964987;-0.82172
3.6032;-0.978453;-0.830102
3.59433;-0.991565;-0.838742
3.58525;-1.01454;-0.845287
3.57891;-1.02508;-0.853973
3.57371;-1.04089;-0.862737
3.57168;-1.05995;-0.870346
3.55844;-1.08424;-0.888213
3.5479;-1.10101;-0.896001
3.53265;-1.13095;-0.912729
3.52536;-1.14119;-0.921607
3.51831;-1.154;-0.930124
3.50433;-1.17394;-0.937582
3.49611;-1.18687;-0.946563
3.48815;-1.20303;-0.954098
3.47463;-1.21276;-0.962442
3.46364;-1.22162;-0.971757
3.45605;-1.24315;-0.979282
3.44028;-1.26871;-0.996692
3.43231;-1.28059;-1.00524
3.40921;-1.3029;-1.02127
3.39187;-1.32866;-1.03772
3.37889;-1.34528;-1.04478
3.36909;-1.35765;-1.05311
3.36458;-1.36679;-1.06274
3.34881;-1.37782;-1.07038
3.33884;-1.39401;-1.07824
3.33472;-1.40308;-1.08718
3.3194;-1.41819;-1.09562
3.31191;-1.4308;-1.10466
3.28947;-1.45625;-1.11989
3.27787;-1.46804;-1.12799
3.27009;-1.47666;-1.13719
3.25798;-1.49084;-1.14392
3.24704;-1.50438;-1.15207
3.23656;-1.51382;-1.16094
3.21661;-1.53962;-1.17683
3.20439;-1.54811;-1.1864
3.17494;-1.57202;-1.2012
3.17269;-1.58294;-1.21051
3.15885;-1.59481;-1.21895
3.14651;-1.60589;-1.22616
3.14074;-1.61651;-1.23564
3.12655;-1.62551;-1.24332
3.115;-1.63731;-1.25094
3.10444;-1.64286;-1.25984
3.09929;-1.64889;-1.26957
3.06783;-1.66845;-1.28382
3.0605;-1.68058;-1.29303
3.04508;-1.69274;-1.30013
3.03026;-1.70197;-1.30808
3.02025;-1.71478;-1.3161
3.00642;-1.72439;-1.32512
2.99418;-1.73731;-1.33301
2.98224;-1.74234;-1.34108
2.95273;-1.76551;-1.35599
2.94407;-1.77357;-1.36631
2.91459;-1.79049;-1.38233
2.89983;-1.79882;-1.39064
2.88998;-1.80853;-1.39934
2.87497;-1.82055;-1.40671
2.85908;-1.82512;-1.41421
2.84657;-1.83697;-1.42364
2.83347;-1.84636;-1.43172
2.82222;-1.85375;-1.43982
2.805;-1.86434;-1.44752
2.78271;-1.88151;-1.46556
2.75295;-1.89725;-1.48169
2.73829;-1.90759;-1.48981
2.72283;-1.91352;-1.49795
2.71062;-1.9231;-1.50647
2.69577;-1.92409;-1.51342
2.67993;-1.92894;-1.52286
2.64316;-1.94556;-1.53702
2.63234;-1.95277;-1.54584
2.60454;-1.96551;-1.56168
2.58827;-1.97329;-1.56973
2.57399;-1.9795;-1.57915
2.55713;-1.98647;-1.5874
2.54511;-1.99518;-1.59527
2.52762;-2.00009;-1.60347
2.51581;-2.00357;-1.61158
2.49962;-2.00955;-1.61966
2.4673;-2.02179;-1.6358
2.43715;-2.03321;-1.65141
2.4214;-2.03937;-1.65952
2.41038;-2.04124;-1.66802
2.39485;-2.04817;-1.676
2.38027;-2.05291;-1.68408
2.36297;-2.05769;-1.69229
2.3472;-2.06261;-1.70039
2.33331;-2.06474;-1.70919
2.30179;-2.07502;-1.72566
2.28798;-2.07927;-1.73436
2.27122;-2.08307;-1.7424
2.25233;-2.08684;-1.75118
2.23919;-2.0871;-1.75977
2.22444;-2.09062;-1.76796
2.18624;-2.09876;-1.7837
2.17523;-2.10348;-1.79308
2.13972;-2.10998;-1.81008
2.12515;-2.11178;-1.81867
2.10805;-2.11638;-1.82708
2.08752;-2.11735;-1.83467
2.07226;-2.12239;-1.84328
2.05898;-2.11838;-1.85263
2.03867;-2.12177;-1.8611
2.01177;-2.13158;-1.87795
1.99596;-2.13327;-1.88773
1.96426;-2.13389;-1.90463
1.943;-2.13913;-1.91344
1.92854;-2.1401;-1.92228
1.90821;-2.13815;-1.92993
1.88959;-2.13978;-1.93935
1.87903;-2.14074;-1.94811
1.86119;-2.1404;-1.95629
1.84032;-2.14033;-1.96528
1.80931;-2.13852;-1.98338
1.78916;-2.13801;-1.99199
1.77204;-2.13798;-2.00049
1.75628;-2.13635;-2.00917
1.74189;-2.13566;-2.01732
1.7245;-2.13513;-2.02684
1.70813;-2.13127;-2.03514
1.69097;-2.13417;-2.04409
1.65466;-2.13277;-2.06153
1.64199;-2.13206;-2.07126
1.60628;-2.13316;-2.08724
1.5934;-2.13085;-2.09631
1.57486;-2.1299;-2.10491
1.5597;-2.12806;-2.11354
1.54567;-2.12869;-2.12282
1.52616;-2.12568;-2.13122
1.51054;-2.12115;-2.14009
1.47608;-2.1171;-2.15685
1.46077;-2.11292;-2.16593
1.42753;-2.10478;-2.18321
1.41173;-2.10391;-2.19182
1.39492;-2.10123;-2.20051
1.38017;-2.09534;-2.20769
1.36543;-2.09169;-2.21695
1.34625;-2.09035;-2.22474
1.32898;-2.08532;-2.23399
1.31104;-2.07242;-2.24168
1.28224;-2.06593;-2.25845
1.26555;-2.05861;-2.26656
1.23554;-2.05627;-2.28557
1.22409;-2.05047;-2.2939
1.20535;-2.03996;-2.30157
1.19168;-2.03876;-2.31018
1.17937;-2.03304;-2.3182
1.16475;-2.02984;-2.32592
1.14878;-2.02333;-2.33463
1.13454;-2.01332;-2.34198
1.11744;-2.00957;-2.34976
1.1045;-2.00513;-2.35851
1.08946;-1.99903;-2.36609
1.06148;-1.98683;-2.3825
1.04557;-1.98202;-2.39037
