Steer;Driving
5740;3171530
5740;3175049
5740;3189096
5740;3197735
5740;3206437
5740;3213334
5740;3220335
5740;3220335
5740;3236170
5740;3241630
5740;3262913
5740;3268285
5740;3271920
5740;3277015
5740;3289714
5740;3294703
5740;3298167
5740;3310852
5740;3320157
5740;3325770
5740;3332968
5740;3340025
5740;3346868
5740;3357641
5740;3357641
5740;3370140
5740;3384103
5740;3393082
5740;3405544
5740;3405544
5740;3407236
5740;3426887
5740;3426887
5740;3441314
5740;3452147
5740;3462862
5740;3462862
5740;3480493
5740;3484199
5740;3496306
5740;3499922
5740;3512367
5740;3515889
5740;3515889
5740;3515889
5740;3542255
5740;3547263
5740;3561111
5740;3568204
5740;3578508
5740;3578508
5740;3578508
5740;3591934
5740;3591934
5740;3591934
5740;3591934
5740;3610109
5740;3633336
5740;3633336
5740;3633336
5740;3655210
5740;3658465
5740;3666621
5740;3673380
5740;3681540
5740;3689636
5740;3694436
5740;3711508
5740;3718184
5740;3718184
5740;3731819
5740;3741994
5740;3748572
5740;3755354
5740;3770808
5740;3775899
5740;3775899
5740;3775899
5740;3775899
5740;3775899
5740;3749270
5740;3749270
5740;3762831
5740;3766096
5740;3766096
5740;3766096
5740;3771043
5740;3771043
5740;3771043
5740;3771043
5740;3771043
5740;3771043
5740;3764827
5740;3764827
5740;3776365
5740;3776365
5740;3801545
5740;3816764
5740;3825205
5740;3832380
5740;3837743
5740;3842745
5740;3847749
5740;3856129
5740;3862727
5740;3869277
5740;3877676
5740;3889489
5740;3892631
5740;3901320
5740;3911245
5740;3918168
5740;3921805
5740;3932090
5740;3939208
5740;3944507
5740;3949777
5740;3949777
5740;3978327
5740;3985263
5740;3985263
5740;4001133
5740;4006668
5740;4015340
5740;4022308
5740;4029045
5740;4034228
5740;4041251
5740;4050313
5740;4058826
5740;4062293
5748;4074353
5762;4084768
5780;4091810
5820;4102153
5840;4110582
5876;4121070
5902;4127714
5912;4131179
5936;4143255
5948;4148473
5964;4159382
5972;4166060
5972;4167881
5984;4176242
5998;4184637
6000;4191417
6008;4201403
6008;4211510
6012;4218207
6012;4223351
6014;4231959
6014;4237016
6016;4240635
6016;4247436
6016;4263066
6016;4271772
6016;4285696
6016;4289247
6016;4294419
6016;4299578
6028;4316787
6032;4325504
6038;4336009
6040;4336009
6044;4353139
6046;4359952
6052;4368680
6058;4370548
6070;4373871
6076;4387944
6090;4393196
6124;4409138
6132;4412764
6132;4419655
6174;4419655
6204;4437088
6220;4447361
6242;4452443
6254;4461182
6316;4477082
6316;4477082
6402;4487577
6444;4504664
6468;4509801
6492;4514703
6540;4523287
6578;4529922
6600;4538392
6666;4543643
6666;4543643
6806;4562112
6942;4577246
7010;4584078
7066;4589074
7132;4594312
7270;4602588
7342;4607585
7462;4616195
7602;4627798
7770;4641006
7826;4645742
7884;4649000
7884;4657111
7970;4657111
8078;4665027
8156;4673221
