x;y;theta
2.37074;0.281003;0.0957981
2.38432;0.281372;0.0951794
2.39119;0.281553;0.0948651
2.39816;0.281734;0.0945459
2.42533;0.282411;0.0932966
2.44946;0.282952;0.092166
2.464;0.283262;0.0914831
2.48899;0.28371;0.0902683
2.50646;0.283996;0.0894138
2.5169;0.284153;0.0888981
2.53398;0.284385;0.0880459
2.5444;0.28451;0.0875201
2.5582;0.284661;0.0868195
2.57557;0.284828;0.0859313
2.6036;0.285047;0.084487
2.61433;0.285119;0.0839325
2.64612;0.285264;0.0822695
2.65757;0.285299;0.081668
2.67492;0.285334;0.0807529
2.6854;0.285346;0.0801991
2.69634;0.285345;0.0796161
2.7112;0.285325;0.0788195
2.72556;0.285291;0.0780467
2.74458;0.285219;0.0770162
2.75511;0.285167;0.0764437
2.77367;0.285048;0.075426
2.79891;0.284836;0.0740287
2.81379;0.284684;0.0731987
2.82876;0.284519;0.0723634
2.84286;0.284353;0.0715761
2.85039;0.284257;0.0711543
2.87228;0.283956;0.0699257
2.88754;0.28373;0.0690691
2.90901;0.28339;0.067864
2.93161;0.283005;0.0665953
2.94565;0.282751;0.0658071
2.9569;0.282539;0.065176
2.96814;0.282321;0.064545
2.98657;0.281947;0.0635099
3.00159;0.281629;0.0626669
3.0126;0.281387;0.062049
3.03448;0.280887;0.0608203
3.04959;0.280526;0.0599721
3.05324;0.280437;0.0597672
3.06388;0.280173;0.0591697
3.07859;0.279797;0.0583442
3.11501;0.278809;0.056295
3.12548;0.278507;0.0557041
3.13341;0.278272;0.0552541
3.15957;0.277454;0.0537597
3.1746;0.276962;0.0528975
3.18548;0.27659;0.0522685
3.18871;0.276478;0.0520818
3.20329;0.275953;0.0512308
3.20329;0.275953;0.0512308
3.25754;0.273841;0.04803
3.25754;0.273841;0.04803
3.2865;0.272613;0.0463022
3.29423;0.272273;0.045838
3.31575;0.271286;0.0445326
3.3346;0.270382;0.0433787
3.34544;0.269844;0.0427095
3.37066;0.268534;0.0411325
3.38884;0.26755;0.0399854
3.41465;0.266083;0.0383345
3.42911;0.265235;0.0374048
3.43643;0.264798;0.0369321
3.45824;0.263458;0.0355128
3.47621;0.262316;0.0343334
3.48705;0.26161;0.0336176
3.49839;0.260853;0.0328618
3.51222;0.259906;0.0319327
3.53375;0.258368;0.0304602
3.54449;0.25758;0.0297197
3.55904;0.25648;0.0287031
3.57286;0.255404;0.0277264
3.60142;0.253065;0.025659
3.61611;0.251814;0.0245794
3.62709;0.250859;0.0237662
3.64499;0.249246;0.0224152
3.65946;0.247909;0.0213131
3.68875;0.24507;0.019027
3.70287;0.243661;0.0179144
3.72768;0.2411;0.0159275
3.74548;0.239221;0.0144941
3.75961;0.237697;0.0133471
3.76984;0.236573;0.0125098
