x;y;theta
1.4999;0.290448;0.302651
1.50813;0.293005;0.299534
1.5123;0.294287;0.297952
1.51653;0.295583;0.296345
1.53302;0.30056;0.290063
1.54764;0.30488;0.284402
1.55646;0.307443;0.280985
1.57156;0.311751;0.27495
1.58211;0.314703;0.270712
1.58842;0.316445;0.268159
1.59871;0.319251;0.26395
1.60499;0.320939;0.261359
1.6133;0.323146;0.257912
1.62376;0.325881;0.253548
1.64063;0.330188;0.246464
1.6471;0.331806;0.243746
1.66623;0.336481;0.235616
1.67312;0.338125;0.232678
1.68357;0.340576;0.228212
1.68988;0.342033;0.225511
1.69646;0.343533;0.222672
1.70539;0.345538;0.218798
1.71403;0.34744;0.215043
1.72546;0.349908;0.210042
1.73179;0.351248;0.207267
1.74294;0.353564;0.202341
1.75808;0.356617;0.195593
1.767;0.358366;0.191591
1.77598;0.360089;0.187563
1.78445;0.36168;0.183768
1.78897;0.362516;0.181736
1.80212;0.364891;0.175819
1.81129;0.3665;0.171695
1.8242;0.368701;0.165892
1.83781;0.370937;0.159782
1.84627;0.372284;0.155987
1.85305;0.37334;0.152947
1.85983;0.374374;0.149909
1.87096;0.376027;0.144924
1.88003;0.377332;0.140865
1.88668;0.378265;0.13789
1.89992;0.380062;0.131973
1.90906;0.381257;0.127888
1.91127;0.38154;0.126901
1.91771;0.382352;0.124025
1.92662;0.383445;0.120049
1.9487;0.385997;0.110185
1.95504;0.386689;0.107344
1.95984;0.387202;0.105181
1.97566;0.388815;0.0980119
1.98475;0.389689;0.0938787
1.99132;0.390298;0.0908686
1.99327;0.390475;0.0899754
2.00206;0.39125;0.0859109
2.00206;0.39125;0.0859109
2.03468;0.393809;0.0706603
2.03468;0.393809;0.0706603
2.05207;0.394968;0.0624474
2.05671;0.395253;0.0602435
2.06958;0.395989;0.0540602
2.08083;0.396567;0.0486057
2.08729;0.396871;0.0454479
2.10226;0.397496;0.0380271
2.11304;0.397877;0.0326395
2.12827;0.398316;0.0249087
2.1368;0.39851;0.0205604
2.14111;0.398594;0.018351
2.15393;0.398786;0.0117295
2.16446;0.398881;0.00623726
2.1708;0.39891;0.00290869
2.17742;0.398918;-0.000599253
2.18547;0.398896;-0.00490396
2.19793;0.398792;-0.0116994
2.20412;0.398709;-0.0151105
2.21249;0.398563;-0.0197802
2.22039;0.398389;-0.0242542
2.23659;0.39792;-0.033675
2.24487;0.39762;-0.0385777
2.25104;0.397371;-0.0422645
2.26102;0.396918;-0.048362
2.26906;0.396509;-0.0533259
2.28516;0.395567;-0.0635642
2.29288;0.395056;-0.0685356
2.30636;0.394071;-0.0773806
2.316;0.393293;-0.0837531
2.32361;0.392634;-0.0888422
2.3291;0.392135;-0.0925503
2.33456;0.391619;-0.0962527
2.34186;0.390895;-0.101236
2.34929;0.390121;-0.106355
2.35865;0.389091;-0.112892
2.36448;0.388417;-0.11702
2.37904;0.386628;-0.127637
2.38585;0.385737;-0.132689
2.39286;0.384781;-0.138016
2.39799;0.384059;-0.141941
2.40664;0.382793;-0.148729
2.4133;0.381777;-0.154025
2.41675;0.381236;-0.156815
2.42512;0.379883;-0.16371
2.43163;0.37879;-0.169163
2.44663;0.376128;-0.182218
2.45007;0.375488;-0.185259
2.46281;0.373023;-0.196927
2.47103;0.37135;-0.204602
2.47929;0.369602;-0.212449
2.4841;0.368553;-0.217119
2.4907;0.367073;-0.223658
2.50312;0.364166;-0.236398
2.50938;0.362637;-0.242898
2.51876;0.360261;-0.252991
2.52777;0.357887;-0.262811
2.53072;0.357087;-0.266067
2.53954;0.354636;-0.27594
2.54563;0.352889;-0.282821
2.54994;0.351625;-0.287749
2.55265;0.350818;-0.290856
2.55978;0.348651;-0.299134
2.56852;0.345908;-0.309408
2.57556;0.343624;-0.317832
2.58954;0.338893;-0.334805
2.59518;0.336909;-0.341727
2.59936;0.33541;-0.346889
2.60643;0.332818;-0.355671
2.61022;0.331399;-0.36041
2.61577;0.329287;-0.367378
2.62228;0.326751;-0.375625
2.62787;0.324522;-0.382748
2.63157;0.323025;-0.38746
2.63684;0.320853;-0.394216
2.64744;0.316356;-0.407957
2.65666;0.312306;-0.420098
2.66073;0.310474;-0.425503
2.66696;0.307617;-0.433877
2.67322;0.304685;-0.442362
2.67696;0.302903;-0.447463
2.68198;0.300474;-0.454366
2.68678;0.298107;-0.461012
2.69048;0.296259;-0.46617
2.69648;0.293207;-0.474616
2.70507;0.288727;-0.486835
2.70995;0.28612;-0.493841
2.71702;0.28227;-0.504045
2.71927;0.281025;-0.507316
2.72534;0.277612;-0.516185
2.72886;0.275604;-0.52134
2.73363;0.272841;-0.528357
2.73704;0.270841;-0.533396
2.74881;0.26375;-0.550917
2.75217;0.261675;-0.555951
2.76142;0.255838;-0.569897
2.76585;0.25298;-0.576615
2.77145;0.249305;-0.585152
2.77381;0.247736;-0.588766
2.77942;0.243953;-0.597396
2.78274;0.241683;-0.602522
2.78827;0.23784;-0.611114
2.79717;0.231516;-0.625028
2.8049;0.225863;-0.637244
2.8104;0.221754;-0.645998
2.8127;0.220017;-0.649666
2.81821;0.215787;-0.658532
2.82154;0.213199;-0.663906
2.82594;0.209727;-0.671055
2.83131;0.205427;-0.679857
2.83551;0.20201;-0.686795
2.83871;0.199372;-0.692139
2.84801;0.191541;-0.707953
2.85113;0.18885;-0.713329
2.85513;0.185363;-0.720271
2.85911;0.181848;-0.727239
2.86416;0.177318;-0.736207
2.86736;0.1744;-0.741957
2.87425;0.168004;-0.754645
2.879;0.163493;-0.76356
2.88443;0.158237;-0.774053
2.88818;0.154546;-0.781414
2.89261;0.150112;-0.790299
2.89691;0.145732;-0.799099
2.9004;0.142121;-0.806381
2.9004;0.142121;-0.806381
2.9063;0.135893;-0.819017
2.91295;0.128676;-0.833673
2.91455;0.126903;-0.837259
2.92171;0.118831;-0.853594
2.92576;0.114141;-0.863017
2.92804;0.111459;-0.868402
2.93196;0.106786;-0.877747
2.93491;0.1032;-0.884883
2.93728;0.100287;-0.890662
2.94091;0.0957699;-0.899603
2.9431;0.092985;-0.905095
2.94596;0.0893277;-0.912272
2.95165;0.0818602;-0.926804
2.95443;0.0781258;-0.934012
2.95931;0.0714325;-0.946862
2.96465;0.0639114;-0.96116
2.96737;0.0599774;-0.968583
2.96998;0.0561537;-0.975761
2.97262;0.0522232;-0.983103
2.9758;0.0474054;-0.992054
2.97645;0.0464073;-0.993902
2.98095;0.0393901;-1.00683
2.98281;0.0364291;-1.01226
2.98346;0.0353964;-1.01414
2.98953;0.0254421;-1.03222
2.9924;0.0205844;-1.04098
2.99476;0.0165302;-1.04825
2.997;0.0125955;-1.05528
2.99876;0.00947578;-1.06083
3.00045;0.00643489;-1.06622
3.00553;-0.00294419;-1.08276
3.00787;-0.00739154;-1.09056
3.01157;-0.0146054;-1.10313
3.01365;-0.0187672;-1.11035
3.01671;-0.0250115;-1.12113
3.01819;-0.0281065;-1.12645
3.01968;-0.0312628;-1.13187
3.02157;-0.0353178;-1.1388
3.02296;-0.0383515;-1.14398
3.02441;-0.0415643;-1.14944
3.02763;-0.0488685;-1.16182
3.03113;-0.0571153;-1.17572
3.03206;-0.0593489;-1.17947
3.03419;-0.0645832;-1.18824
3.03588;-0.0688104;-1.19529
3.03752;-0.0730192;-1.2023
3.03878;-0.0763046;-1.20775
3.04085;-0.0818366;-1.21692
3.04249;-0.0863245;-1.22433
3.04529;-0.0942462;-1.23736
3.04675;-0.098506;-1.24434
3.04828;-0.103069;-1.2518
3.05079;-0.110854;-1.26449
3.05254;-0.116462;-1.2736
3.05355;-0.119802;-1.27901
3.05522;-0.125465;-1.28817
3.05648;-0.129847;-1.29524
3.05741;-0.133171;-1.30059
3.05804;-0.13546;-1.30427
